2_035 : 0.29,0.26,0.27,0.24,0.21,0.21,0.29,0.24,0.28,0.27,0.21,0.23,0.27,0.26,0.27,0.27,0.29,0.28,0.24,0.25,0.24,0.24,0.21,0.3,0.24,0.28,0.27,0.27,0.25,0.27,0.3,0.29,0.25,0.29,0.23,0.26,0.2,0.28,0.23,0.27,0.25,0.23,0.24,0.24,0.27,0.26,0.29,0.28,0.23,0.23,
2_052 : 0.25,0.24,0.26,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.24,0.26,0.25,0.25,0.24,0.24,0.25,0.25,0.26,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.25,0.25,0.25,0.25,0.24,0.26,0.24,0.26,0.26,0.25,0.27,0.25,0.25,0.27,0.24,0.24,0.25,0.25,
2_029 : 0.25,0.26,0.24,0.26,0.25,0.25,0.25,0.24,0.24,0.24,0.24,0.26,0.24,0.25,0.25,0.27,0.24,0.24,0.25,0.25,0.26,0.24,0.24,0.26,0.27,0.24,0.25,0.26,0.24,0.25,0.24,0.24,0.26,0.24,0.24,0.25,0.26,0.24,0.24,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.25,
2_010 : 0.27,0.24,0.26,0.26,0.27,0.24,0.26,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.29,0.24,0.24,0.22,0.26,0.24,0.26,0.25,0.22,0.24,0.25,0.24,0.24,0.24,0.24,0.29,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.23,0.24,0.23,0.24,0.24,0.25,0.23,0.24,0.25,0.24,0.29,0.23,0.25,
2_023 : 0.23,0.23,0.27,0.26,0.24,0.23,0.24,0.27,0.23,0.24,0.24,0.26,0.26,0.23,0.27,0.25,0.24,0.24,0.26,0.24,0.23,0.26,0.25,0.24,0.23,0.24,0.25,0.25,0.25,0.24,0.26,0.25,0.23,0.25,0.25,0.24,0.26,0.24,0.26,0.25,0.31,0.24,0.25,0.25,0.24,0.25,0.24,0.24,0.25,0.28,
2_U10-009 : 0.25,0.27,0.24,0.27,0.27,0.27,0.25,0.26,0.24,0.27,0.24,0.27,0.26,0.24,0.24,0.24,0.27,0.26,0.28,0.26,0.23,0.25,0.24,0.24,0.26,0.26,0.25,0.24,0.23,0.24,0.24,0.25,0.26,0.24,0.25,0.25,0.24,0.25,0.25,0.26,0.25,0.24,0.27,0.24,0.27,0.27,0.23,0.26,0.25,0.27,
2_024 : 0.25,0.25,0.25,0.25,0.27,0.24,0.24,0.26,0.25,0.24,0.26,0.25,0.25,0.25,0.26,0.26,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.24,0.24,0.25,0.25,0.24,0.25,0.26,0.25,0.24,0.26,0.25,0.24,0.23,0.24,0.25,0.28,0.27,0.24,0.25,0.25,0.22,0.25,0.24,0.25,0.26,0.26,0.25,
2_U100-006 : 0.24,0.24,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.24,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,
2_025 : 0.28,0.25,0.26,0.25,0.26,0.26,0.27,0.25,0.26,0.23,0.24,0.25,0.25,0.23,0.26,0.25,0.26,0.26,0.25,0.25,0.25,0.24,0.24,0.25,0.24,0.26,0.26,0.26,0.26,0.25,0.27,0.26,0.24,0.26,0.26,0.25,0.27,0.24,0.25,0.26,0.26,0.25,0.23,0.26,0.27,0.24,0.26,0.25,0.24,0.25,
2_U100-003 : 0.26,0.24,0.25,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.24,0.25,0.25,0.25,0.24,0.25,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.24,0.25,0.25,0.25,0.25,0.24,0.23,0.26,0.25,0.24,0.25,0.25,0.24,0.25,0.24,0.25,0.25,
2_051 : 0.26,0.24,0.24,0.3,0.28,0.26,0.24,0.28,0.31,0.22,0.27,0.26,0.24,0.27,0.26,0.25,0.33,0.25,0.23,0.26,0.24,0.31,0.29,0.24,0.24,0.22,0.24,0.22,0.25,0.26,0.25,0.24,0.27,0.27,0.26,0.25,0.3,0.28,0.26,0.26,0.26,0.24,0.23,0.24,0.26,0.24,0.23,0.26,0.28,0.29,
