2_U100-003 : 0.79,0.77,0.78,0.77,0.78,0.79,0.77,0.78,0.77,0.77,0.78,0.77,0.77,0.77,0.78,0.77,0.77,0.76,0.77,0.77,0.77,0.78,0.78,0.77,0.78,0.77,0.77,0.77,0.79,0.76,0.78,0.77,0.78,0.78,0.76,0.77,0.78,0.77,0.78,0.78,0.77,0.77,0.78,0.77,0.75,0.78,0.78,0.77,0.77,0.78,
2_051 : 0.33,0.39,0.3,0.34,0.3,0.3,0.38,0.32,0.39,0.3,0.35,0.29,0.37,0.44,0.32,0.49,0.35,0.31,0.38,0.36,0.37,0.32,0.32,0.39,0.26,0.62,0.3,0.29,0.38,0.3,0.39,0.33,0.33,0.36,0.31,0.29,0.34,0.29,0.3,0.31,0.45,0.53,0.33,0.33,0.37,0.37,0.36,0.39,0.33,0.32,
2_037 : 0.61,0.58,0.61,0.57,0.55,0.57,0.57,0.61,0.62,0.57,0.65,0.62,0.58,0.62,0.59,0.57,0.58,0.62,0.57,0.6,0.62,0.61,0.62,0.58,0.57,0.57,0.58,0.58,0.57,0.61,0.6,0.57,0.57,0.6,0.57,0.63,0.58,0.62,0.61,0.56,0.6,0.58,0.63,0.57,0.58,0.62,0.57,0.6,0.56,0.57,
2_041 : 0.65,0.38,0.29,0.33,0.55,0.54,0.55,0.57,0.29,0.61,0.3,0.41,0.32,0.58,0.5,0.3,0.61,0.32,0.3,0.3,0.59,0.55,0.31,0.61,0.61,0.3,0.66,0.64,0.55,0.31,0.52,0.39,0.52,0.34,0.6,0.33,0.69,0.35,0.61,0.61,0.31,0.62,0.3,0.31,0.29,0.34,0.32,0.29,0.55,0.3,
2_034 : 0.59,0.64,0.59,0.57,0.58,0.58,0.57,0.58,0.58,0.64,0.51,0.59,0.58,0.3,0.64,0.56,0.58,0.57,0.6,0.58,0.58,0.6,0.61,0.59,0.66,0.57,0.59,0.59,0.61,0.61,0.57,0.59,0.64,0.6,0.58,0.61,0.6,0.58,0.6,0.6,0.62,0.58,0.58,0.63,0.61,0.59,0.58,0.54,0.66,0.64,
2_U10-006 : 0.76,0.76,0.75,0.76,0.76,0.74,0.75,0.67,0.74,0.7,0.74,0.77,0.55,0.76,0.77,0.75,0.76,0.76,0.6,0.54,0.54,0.76,0.61,0.67,0.73,0.63,0.74,0.76,0.61,0.74,0.75,0.75,0.77,0.76,0.74,0.76,0.76,0.73,0.73,0.77,0.78,0.74,0.76,0.76,0.76,0.61,0.62,0.77,0.76,0.61,
2_053 : 0.27,0.58,0.29,0.37,0.33,0.42,0.4,0.41,0.38,0.31,0.46,0.47,0.59,0.42,0.46,0.33,0.3,0.41,0.28,0.38,0.28,0.65,0.34,0.29,0.31,0.42,0.43,0.51,0.31,0.27,0.42,0.39,0.41,0.41,0.42,0.33,0.32,0.44,0.33,0.5,0.61,0.32,0.44,0.5,0.46,0.3,0.32,0.51,0.32,0.41,
2_003 : 0.58,0.54,0.33,0.63,0.37,0.51,0.57,0.58,0.54,0.39,0.57,0.66,0.46,0.62,0.59,0.58,0.6,0.58,0.4,0.4,0.58,0.65,0.37,0.35,0.63,0.59,0.36,0.6,0.38,0.6,0.57,0.55,0.64,0.56,0.37,0.6,0.34,0.62,0.36,0.54,0.69,0.59,0.57,0.36,0.55,0.36,0.37,0.4,0.34,0.57,
2_020 : 0.61,0.63,0.61,0.55,0.55,0.48,0.39,0.57,0.6,0.59,0.44,0.55,0.62,0.61,0.59,0.57,0.62,0.61,0.47,0.61,0.58,0.54,0.42,0.61,0.6,0.57,0.59,0.56,0.58,0.57,0.42,0.6,0.58,0.56,0.63,0.61,0.61,0.61,0.59,0.6,0.6,0.59,0.43,0.49,0.48,0.59,0.63,0.56,0.57,0.59,
2_031 : 0.49,0.54,0.51,0.47,0.53,0.51,0.37,0.49,0.5,0.47,0.45,0.45,0.47,0.47,0.5,0.5,0.47,0.53,0.47,0.48,0.49,0.47,0.5,0.48,0.49,0.46,0.4,0.51,0.4,0.37,0.5,0.51,0.46,0.48,0.45,0.43,0.39,0.46,0.5,0.49,0.51,0.47,0.47,0.51,0.46,0.47,0.28,0.47,0.47,0.39,
